status,type_of_facility,county,beds_ready_to_accept_patients,patients_in_beds,beds_in_warm_status,date
Pending ,Hospital,San Diego,0,0,,4/28/2020
Ready,Skilled Nursing Facility,Tulare,0,0,,4/28/2020
WrapAround,Federal Medical Station,Shasta,0,0,,4/28/2020
Ready,Alternative Care Facility,San Mateo,100,0,,4/28/2020
Ready,Skilled Nursing Facility,Riverside,99,0,,4/28/2020
Ready,Hospital,San Mateo,120,14,,4/28/2020
WrapAround,Federal Medical Station,Riverside,0,0,,4/28/2020
Ready,Federal Medical Station,Butte,107,0,,4/28/2020
Ready,Arena,Sacramento,328,0,,4/28/2020
Ready,Federal Medical Station,Santa Clara,250,7,,4/28/2020
TBD,Skilled Nursing Facility,Sacramento,0,0,,4/28/2020
Ready,Hospital,Los Angeles,32,19,,4/28/2020
TBD,Skilled Nursing Facility,Humboldt,0,0,,4/28/2020
Ready,Ship,Los Angeles,250,4,,4/28/2020
Ready,Alternative Care Facility,Orange,25,3,,4/28/2020
TBD,Alternative Care Facility,Orange,0,0,,4/28/2020
Ready,Federal Medical Station,Riverside,125,0,,4/28/2020
Ready,Skilled Nursing Facility,San Francisco,11,0,,4/28/2020
WrapAround,Alternative Care Facility,San Francisco,0,0,,4/28/2020
WrapAround,Alternative Care Facility,Tulare,33,0,,4/28/2020
WrapAround,Federal Medical Station,San Mateo,0,0,,4/28/2020
Ready,Skilled Nursing Facility,Orange,75,0,,4/28/2020
Ready,Federal Medical Station,Contra Costa,250,0,,4/28/2020
Ready,Federal Medical Station,Fresno,125,0,,4/28/2020
Ready,Federal Medical Station,Los Angeles,175,0,,4/28/2020
Pending ,Hospital,San Diego,0,0,,4/29/2020
Ready,Arena,Sacramento,328,0,,4/29/2020
Ready,Federal Medical Station,Santa Clara,250,0,,4/29/2020
Ready,Federal Medical Station,Fresno,125,0,,4/29/2020
Ready,Hospital,San Mateo,120,11,,4/29/2020
WrapAround,Federal Medical Station,San Mateo,0,0,,4/29/2020
Ready,Skilled Nursing Facility,Tulare,0,0,,4/29/2020
WrapAround,Alternative Care Facility,San Francisco,0,0,,4/29/2020
TBD,Alternative Care Facility,Orange,0,0,,4/29/2020
Ready,Federal Medical Station,Los Angeles,175,0,,4/29/2020
Ready,Federal Medical Station,Butte,107,0,,4/29/2020
Ready,Skilled Nursing Facility,Riverside,99,0,,4/29/2020
Ready,Federal Medical Station,Contra Costa,250,0,,4/29/2020
Ready,Skilled Nursing Facility,Orange,75,0,,4/29/2020
Ready,Alternative Care Facility,San Mateo,100,0,,4/29/2020
TBD,Skilled Nursing Facility,Humboldt,0,0,,4/29/2020
TBD,Skilled Nursing Facility,Sacramento,0,0,,4/29/2020
WrapAround,Federal Medical Station,Riverside,0,0,,4/29/2020
Ready,Federal Medical Station,Riverside,125,0,,4/29/2020
WrapAround,Federal Medical Station,Shasta,0,0,,4/29/2020
Ready,Alternative Care Facility,Orange,25,3,,4/29/2020
Ready,Skilled Nursing Facility,San Francisco,11,0,,4/29/2020
Ready,Hospital,Los Angeles,32,19,,4/29/2020
WrapAround,Alternative Care Facility,Tulare,33,0,,4/29/2020
Ready,Ship,Los Angeles,250,6,,4/29/2020
Ready,Skilled Nursing Facility,Riverside,99,0,,4/30/2020
Ready,Hospital,San Mateo,120,12,,4/30/2020
Ready,Federal Medical Station,Contra Costa,250,0,,4/30/2020
TBD,Alternative Care Facility,Orange,0,0,,4/30/2020
Ready,Alternative Care Facility,Orange,25,4,,4/30/2020
TBD,Skilled Nursing Facility,Humboldt,0,0,,4/30/2020
Pending ,Hospital,San Diego,0,0,,4/30/2020
Ready,Hospital,Los Angeles,32,19,,4/30/2020
Ready,Federal Medical Station,Santa Clara,250,0,,4/30/2020
WrapAround,Federal Medical Station,Shasta,0,0,,4/30/2020
WrapAround,Federal Medical Station,San Mateo,0,0,,4/30/2020
WrapAround,Alternative Care Facility,Tulare,33,0,,4/30/2020
Ready,Federal Medical Station,Butte,107,0,,4/30/2020
Ready,Alternative Care Facility,San Mateo,100,0,,4/30/2020
Ready,Skilled Nursing Facility,Orange,75,0,,4/30/2020
Ready,Ship,Los Angeles,250,9,,4/30/2020
Ready,Skilled Nursing Facility,San Francisco,11,0,,4/30/2020
WrapAround,Federal Medical Station,Riverside,0,0,,4/30/2020
Ready,Skilled Nursing Facility,Tulare,0,0,,4/30/2020
Ready,Federal Medical Station,Los Angeles,175,0,,4/30/2020
Ready,Federal Medical Station,Fresno,125,0,,4/30/2020
Ready,Arena,Sacramento,328,0,,4/30/2020
WrapAround,Alternative Care Facility,San Francisco,0,0,,4/30/2020
Ready,Federal Medical Station,Riverside,125,0,,4/30/2020
TBD,Skilled Nursing Facility,Sacramento,0,0,,4/30/2020
WrapAround,Federal Medical Station,San Mateo,0,0,,5/1/2020
Pending ,Hospital,San Diego,0,0,,5/1/2020
TBD,Skilled Nursing Facility,Sacramento,0,0,,5/1/2020
Ready,Skilled Nursing Facility,San Francisco,11,0,,5/1/2020
Ready,Alternative Care Facility,Orange,25,4,,5/1/2020
WrapAround,Alternative Care Facility,San Francisco,0,0,,5/1/2020
WrapAround,Alternative Care Facility,Tulare,33,0,,5/1/2020
Ready,Federal Medical Station,Riverside,125,0,,5/1/2020
Ready,Skilled Nursing Facility,Riverside,99,0,,5/1/2020
Ready,Ship,Los Angeles,250,7,,5/1/2020
TBD,Alternative Care Facility,Orange,0,0,,5/1/2020
Ready,Federal Medical Station,Contra Costa,250,0,,5/1/2020
Ready,Skilled Nursing Facility,Orange,75,0,,5/1/2020
Ready,Federal Medical Station,Butte,107,0,,5/1/2020
WrapAround,Federal Medical Station,Shasta,0,0,,5/1/2020
Ready,Arena,Sacramento,328,1,,5/1/2020
TBD,Skilled Nursing Facility,Humboldt,0,0,,5/1/2020
Ready,Skilled Nursing Facility,Tulare,0,0,,5/1/2020
Ready,Hospital,Los Angeles,32,20,,5/1/2020
Ready,Alternative Care Facility,San Mateo,100,0,,5/1/2020
WrapAround,Federal Medical Station,Riverside,0,0,,5/1/2020
Ready,Hospital,San Mateo,120,11,,5/1/2020
Ready,Federal Medical Station,Los Angeles,175,0,,5/1/2020
Ready,Federal Medical Station,Fresno,125,0,,5/1/2020
Ready,Federal Medical Station,Santa Clara,250,0,,5/1/2020
Ready,Federal Medical Station,Santa Clara,250,0,,5/2/2020
WrapAround,Federal Medical Station,Shasta,0,0,,5/2/2020
Ready,Federal Medical Station,Butte,107,0,,5/2/2020
WrapAround,Alternative Care Facility,Tulare,33,0,,5/2/2020
Ready,Skilled Nursing Facility,Riverside,99,0,,5/2/2020
Ready,Alternative Care Facility,Orange,25,5,,5/2/2020
TBD,Skilled Nursing Facility,Sacramento,0,0,,5/2/2020
TBD,Alternative Care Facility,Orange,0,0,,5/2/2020
Ready,Federal Medical Station,Riverside,125,0,,5/2/2020
Ready,Federal Medical Station,Contra Costa,250,0,,5/2/2020
Ready,Skilled Nursing Facility,San Francisco,11,0,,5/2/2020
Ready,Ship,Los Angeles,250,7,,5/2/2020
WrapAround,Federal Medical Station,San Mateo,0,0,,5/2/2020
Ready,Federal Medical Station,Los Angeles,175,0,,5/2/2020
Ready,Federal Medical Station,Fresno,125,0,,5/2/2020
Ready,Skilled Nursing Facility,Tulare,0,0,,5/2/2020
Ready,Hospital,San Mateo,120,11,,5/2/2020
Ready,Skilled Nursing Facility,Orange,75,0,,5/2/2020
Ready,Alternative Care Facility,San Mateo,100,0,,5/2/2020
TBD,Skilled Nursing Facility,Humboldt,0,0,,5/2/2020
WrapAround,Alternative Care Facility,San Francisco,0,0,,5/2/2020
Pending ,Hospital,San Diego,0,0,,5/2/2020
Ready,Arena,Sacramento,328,1,,5/2/2020
Ready,Hospital,Los Angeles,32,20,,5/2/2020
WrapAround,Federal Medical Station,Riverside,0,0,,5/2/2020
Ready,Skilled Nursing Facility,Orange,75,0,,5/3/2020
Ready,Skilled Nursing Facility,San Francisco,11,0,,5/3/2020
TBD,Alternative Care Facility,Orange,0,0,,5/3/2020
Ready,Alternative Care Facility,Orange,25,7,,5/3/2020
Ready,Alternative Care Facility,San Mateo,100,0,,5/3/2020
Ready,Skilled Nursing Facility,Tulare,0,0,,5/3/2020
Ready,Federal Medical Station,Contra Costa,250,0,,5/3/2020
Ready,Hospital,San Mateo,120,15,,5/3/2020
Ready,Skilled Nursing Facility,Riverside,99,0,,5/3/2020
Ready,Federal Medical Station,Riverside,125,0,,5/3/2020
WrapAround,Federal Medical Station,Shasta,0,0,,5/3/2020
TBD,Skilled Nursing Facility,Sacramento,0,0,,5/3/2020
Ready,Federal Medical Station,Santa Clara,250,0,,5/3/2020
Ready,Federal Medical Station,Fresno,125,0,,5/3/2020
Ready,Federal Medical Station,Los Angeles,175,0,,5/3/2020
WrapAround,Federal Medical Station,San Mateo,0,0,,5/3/2020
Ready,Arena,Sacramento,328,6,,5/3/2020
Ready,Federal Medical Station,Butte,107,0,,5/3/2020
TBD,Skilled Nursing Facility,Humboldt,0,0,,5/3/2020
WrapAround,Alternative Care Facility,San Francisco,0,0,,5/3/2020
Pending ,Hospital,San Diego,0,0,,5/3/2020
Ready,Hospital,Los Angeles,32,20,,5/3/2020
WrapAround,Alternative Care Facility,Tulare,33,0,,5/3/2020
WrapAround,Federal Medical Station,Riverside,0,0,,5/3/2020
Ready,Ship,Los Angeles,250,7,,5/3/2020
Ready,Federal Medical Station,Contra Costa,250,0,,5/4/2020
Ready,Federal Medical Station,Santa Clara,250,0,,5/4/2020
Ready,Alternative Care Facility,San Mateo,100,0,,5/4/2020
Ready,Federal Medical Station,Riverside,125,0,,5/4/2020
Ready,Hospital,San Mateo,120,15,,5/4/2020
Ready,Federal Medical Station,Los Angeles,175,0,,5/4/2020
Ready,Skilled Nursing Facility,Riverside,99,0,,5/4/2020
Ready,Skilled Nursing Facility,Orange,75,0,,5/4/2020
TBD,Alternative Care Facility,Orange,0,0,,5/4/2020
Ready,Skilled Nursing Facility,San Francisco,11,0,,5/4/2020
WrapAround,Federal Medical Station,San Mateo,0,0,,5/4/2020
WrapAround,Federal Medical Station,Shasta,0,0,,5/4/2020
Ready,Federal Medical Station,Fresno,125,0,,5/4/2020
Ready,Skilled Nursing Facility,Tulare,0,0,,5/4/2020
Ready,Arena,Sacramento,328,6,,5/4/2020
Ready,Federal Medical Station,Butte,107,0,,5/4/2020
Ready,Ship,Los Angeles,250,7,,5/4/2020
WrapAround,Federal Medical Station,Riverside,0,0,,5/4/2020
WrapAround,Alternative Care Facility,Tulare,33,0,,5/4/2020
Ready,Hospital,Los Angeles,32,16,,5/4/2020
Pending ,Hospital,San Diego,0,0,,5/4/2020
WrapAround,Alternative Care Facility,San Francisco,0,0,,5/4/2020
TBD,Skilled Nursing Facility,Sacramento,0,0,,5/4/2020
TBD,Skilled Nursing Facility,Humboldt,0,0,,5/4/2020
Ready,Alternative Care Facility,Orange,25,9,,5/4/2020
Pending ,Hospital,San Diego,0,0,,5/5/2020
WARM Status,Skilled Nursing Facility,Tulare,0,0,,5/5/2020
WARM Status,Federal Medical Station,Shasta,0,0,,5/5/2020
Ready,Federal Medical Station,Los Angeles,175,0,,5/5/2020
Ready,Federal Medical Station,Riverside,250,0,,5/5/2020
WARM Status,Alternative Care Facility,Orange,0,0,,5/5/2020
WARM Status,Federal Medical Station,Santa Clara,250,0,,5/5/2020
Ready,Federal Medical Station,Butte,125,0,,5/5/2020
Ready,Skilled Nursing Facility,Riverside,99,0,,5/5/2020
Ready,Hospital,San Mateo,120,17,,5/5/2020
Ready,Federal Medical Station,Contra Costa,250,0,,5/5/2020
Ready,Skilled Nursing Facility,Orange,75,0,,5/5/2020
Ready,Alternative Care Facility,Orange,25,9,,5/5/2020
Ready,Federal Medical Station,San Diego,200,0,,5/5/2020
Ready,Skilled Nursing Facility,San Francisco,11,0,,5/5/2020
TBD,Skilled Nursing Facility,Humboldt,0,0,,5/5/2020
TBD,Skilled Nursing Facility,Sacramento,0,0,,5/5/2020
WrapAround,Alternative Care Facility,San Francisco,0,0,,5/5/2020
Ready,Hospital,Los Angeles,32,19,,5/5/2020
Ready,Alternative Care Facility,Tulare,33,0,,5/5/2020
Ready,Ship,Los Angeles,250,2,,5/5/2020
Ready,Federal Medical Station,San Mateo,0,0,,5/5/2020
Ready,Federal Medical Station,Fresno,125,0,,5/5/2020
Ready,Arena,Sacramento,320,5,,5/5/2020
WARM Status,Federal Medical Station,Shasta,0,0,,5/6/2020
WARM Status,Federal Medical Station,Santa Clara,0,0,,5/6/2020
Ready,Alternative Care Facility,Tulare,10,0,,5/6/2020
Ready,Skilled Nursing Facility,San Francisco,11,0,,5/6/2020
Ready,Alternative Care Facility,Orange,25,9,,5/6/2020
Ready,Federal Medical Station,Riverside,250,0,,5/6/2020
Ready,Federal Medical Station,San Mateo,250,0,,5/6/2020
Ready,Federal Medical Station,Contra Costa,250,0,,5/6/2020
Ready,Federal Medical Station,San Diego,200,0,,5/6/2020
Ready,Federal Medical Station,Los Angeles,175,0,,5/6/2020
WARM Status,Alternative Care Facility,Orange,0,0,,5/6/2020
Ready,Federal Medical Station,Fresno,125,0,,5/6/2020
Ready,Skilled Nursing Facility,Orange,100,0,,5/6/2020
WARM Status,Skilled Nursing Facility,Tulare,0,0,,5/6/2020
Ready,Arena,Sacramento,320,5,,5/6/2020
Ready,Federal Medical Station,Butte,125,0,,5/6/2020
Ready,Hospital,Los Angeles,32,20,,5/6/2020
Ready,Hospital,San Mateo,120,18,,5/6/2020
Ready,Skilled Nursing Facility,Riverside,99,0,,5/6/2020
Ready,Federal Medical Station,Los Angeles,175,0,,5/7/2020
Ready,Hospital,San Mateo,120,17,,5/7/2020
Ready,Alternative Care Facility,Tulare,10,0,,5/7/2020
Ready,Arena,Sacramento,320,5,,5/7/2020
WARM Status,Skilled Nursing Facility,Tulare,0,0,,5/7/2020
WARM Status,Federal Medical Station,Santa Clara,0,0,,5/7/2020
Ready,Federal Medical Station,Fresno,125,0,,5/7/2020
WARM Status,Federal Medical Station,Shasta,0,0,,5/7/2020
Ready,Federal Medical Station,Butte,125,0,,5/7/2020
Ready,Federal Medical Station,Riverside,250,0,,5/7/2020
Ready,Hospital,Los Angeles,32,22,,5/7/2020
Ready,Skilled Nursing Facility,San Francisco,11,0,,5/7/2020
Ready,Federal Medical Station,San Diego,200,0,,5/7/2020
Ready,Alternative Care Facility,Orange,25,9,,5/7/2020
Ready,Skilled Nursing Facility,Orange,100,0,,5/7/2020
Ready,Federal Medical Station,Contra Costa,250,0,,5/7/2020
Ready,Federal Medical Station,San Mateo,250,0,,5/7/2020
WARM Status,Alternative Care Facility,Orange,0,0,,5/7/2020
Ready,Skilled Nursing Facility,Riverside,99,0,,5/7/2020
Ready,Skilled Nursing Facility,Riverside,99,0,,5/8/2020
Ready,Alternative Care Facility,Orange,25,10,,5/8/2020
WARM Status,Federal Medical Station,Shasta,0,0,,5/8/2020
Ready,Federal Medical Station,Los Angeles,175,0,,5/8/2020
Ready,Federal Medical Station,San Diego,200,0,,5/8/2020
Ready,Federal Medical Station,Contra Costa,250,0,,5/8/2020
WARM Status,Skilled Nursing Facility,Tulare,0,0,,5/8/2020
Ready,Skilled Nursing Facility,Orange,100,0,,5/8/2020
Ready,Arena,Sacramento,320,6,,5/8/2020
WARM Status,Alternative Care Facility,Orange,0,0,,5/8/2020
Ready,Alternative Care Facility,Tulare,10,0,,5/8/2020
Ready,Federal Medical Station,Riverside,250,0,,5/8/2020
WARM Status,Federal Medical Station,Santa Clara,0,0,,5/8/2020
Ready,Federal Medical Station,San Mateo,250,0,,5/8/2020
Ready,Federal Medical Station,Fresno,125,0,,5/8/2020
Ready,Federal Medical Station,Butte,125,0,,5/8/2020
Ready,Hospital,Los Angeles,32,21,,5/8/2020
Ready,Skilled Nursing Facility,San Francisco,11,0,,5/8/2020
Ready,Hospital,San Mateo,120,14,,5/8/2020
Ready,Federal Medical Station,San Mateo,250,0,,5/9/2020
Ready,Arena,Sacramento,320,6,,5/9/2020
Ready,Alternative Care Facility,Orange,25,10,,5/9/2020
Ready,Hospital,San Mateo,120,12,,5/9/2020
Ready,Skilled Nursing Facility,Riverside,99,0,,5/9/2020
Ready,Skilled Nursing Facility,Orange,100,0,,5/9/2020
Ready,Federal Medical Station,Los Angeles,175,0,,5/9/2020
WARM Status,Federal Medical Station,Shasta,0,0,,5/9/2020
Ready,Federal Medical Station,Fresno,125,0,,5/9/2020
WARM Status,Federal Medical Station,Santa Clara,0,0,,5/9/2020
WARM Status,Skilled Nursing Facility,Tulare,0,0,,5/9/2020
Ready,Federal Medical Station,Butte,125,0,,5/9/2020
Ready,Federal Medical Station,Riverside,250,0,,5/9/2020
Ready,Alternative Care Facility,Tulare,10,0,,5/9/2020
Ready,Hospital,Los Angeles,32,21,,5/9/2020
Ready,Skilled Nursing Facility,San Francisco,11,0,,5/9/2020
Ready,Federal Medical Station,San Diego,200,0,,5/9/2020
WARM Status,Alternative Care Facility,Orange,0,0,,5/9/2020
Ready,Federal Medical Station,Contra Costa,250,0,,5/9/2020
Ready,Federal Medical Station,Los Angeles,175,0,,5/10/2020
WARM Status,Skilled Nursing Facility,Tulare,0,0,,5/10/2020
Ready,Arena,Sacramento,320,6,,5/10/2020
Ready,Federal Medical Station,Butte,125,0,,5/10/2020
Ready,Hospital,San Mateo,120,10,,5/10/2020
Ready,Alternative Care Facility,Tulare,10,0,,5/10/2020
Ready,Federal Medical Station,San Mateo,250,0,,5/10/2020
Ready,Skilled Nursing Facility,Riverside,99,0,,5/10/2020
Ready,Federal Medical Station,Contra Costa,250,0,,5/10/2020
Ready,Skilled Nursing Facility,Orange,100,0,,5/10/2020
WARM Status,Alternative Care Facility,Orange,0,0,,5/10/2020
Ready,Alternative Care Facility,Orange,25,11,,5/10/2020
Ready,Federal Medical Station,San Diego,200,0,,5/10/2020
Ready,Skilled Nursing Facility,San Francisco,11,0,,5/10/2020
Ready,Hospital,Los Angeles,32,21,,5/10/2020
Ready,Federal Medical Station,Riverside,250,0,,5/10/2020
WARM Status,Federal Medical Station,Santa Clara,0,0,,5/10/2020
Ready,Federal Medical Station,Fresno,125,0,,5/10/2020
WARM Status,Federal Medical Station,Shasta,0,0,,5/10/2020
Ready,Alternative Care Facility,Orange,25,11,,5/11/2020
Ready,Federal Medical Station,San Mateo,250,0,,5/11/2020
Ready,Federal Medical Station,Los Angeles,175,0,,5/11/2020
Ready,Federal Medical Station,Fresno,125,0,,5/11/2020
WARM Status,Federal Medical Station,Santa Clara,0,0,,5/11/2020
Ready,Arena,Sacramento,320,6,,5/11/2020
Ready,Federal Medical Station,San Diego,200,0,,5/11/2020
WARM Status,Alternative Care Facility,Orange,0,0,,5/11/2020
Ready,Skilled Nursing Facility,Orange,100,0,,5/11/2020
Ready,Federal Medical Station,Contra Costa,250,0,,5/11/2020
Ready,Hospital,San Mateo,120,9,,5/11/2020
Ready,Skilled Nursing Facility,San Francisco,11,0,,5/11/2020
Ready,Skilled Nursing Facility,Riverside,99,0,,5/11/2020
Ready,Hospital,Los Angeles,32,23,,5/11/2020
Ready,Federal Medical Station,Riverside,250,0,,5/11/2020
WARM Status,Skilled Nursing Facility,Tulare,0,0,,5/11/2020
WARM Status,Federal Medical Station,Shasta,0,0,,5/11/2020
Ready,Alternative Care Facility,Tulare,10,0,,5/11/2020
Ready,Federal Medical Station,Butte,125,0,,5/11/2020
Ready,Federal Medical Station,San Diego,200,0,,5/12/2020
Ready,Arena,Sacramento,320,6,,5/12/2020
Ready,Skilled Nursing Facility,Orange,100,0,,5/12/2020
WARM Status,Alternative Care Facility,Orange,0,0,,5/12/2020
WARM Status,Federal Medical Station,Santa Clara,0,0,,5/12/2020
Ready,Federal Medical Station,Fresno,125,0,,5/12/2020
WARM Status,Federal Medical Station,Shasta,0,0,,5/12/2020
Ready,Federal Medical Station,San Mateo,250,0,,5/12/2020
Ready,Skilled Nursing Facility,Riverside,99,0,,5/12/2020
Ready,Hospital,San Mateo,120,8,,5/12/2020
Ready,Federal Medical Station,Contra Costa,250,0,,5/12/2020
